Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH,Pack_SOH
NMC,53,J2-200,2.1,1.8418,5,50,43.852380952380955,3.8671,3.8845,3.8904,3.873,3.8684,3.8516,3.8448,3.8628,3.8662,3.9009,3.9133,3.8783,3.8696,3.8352,3.8225,3.8581,3.8656,3.9347,3.9589,3.8888,3.8724,0.8770476190476191,3.876528571428572
NMC,12,D4-600,2.1,1.6112,5,45,34.52571428571429,3.8681,3.8836,3.8891,3.8736,3.8699,3.8541,3.8482,3.864,3.8668,3.8988,3.9099,3.8795,3.8709,3.8402,3.8281,3.8594,3.8662,3.9291,3.9515,3.8888,3.8736,0.7672380952380952,3.8768285714285717
NMC,67,J4-600,2.1,1.3856,5,40,26.39238095238095,3.8681,3.8851,3.8916,3.8752,3.8702,3.8526,3.8467,3.8634,3.8671,3.8997,3.9146,3.8808,3.8715,3.8377,3.825,3.8588,3.8665,3.9338,3.9598,3.8922,3.8743,0.6598095238095237,3.8778428571428574
NMC,33,H4-500,2.1,1.4317,5,40,27.270476190476188,3.8684,3.8854,3.8926,3.8752,3.8699,3.8529,3.8457,3.8637,3.8671,3.9031,3.9155,3.8811,3.8715,3.8358,3.8234,3.8575,3.8662,3.9372,3.962,3.8935,3.8746,0.6817619047619047,3.8782047619047626
NMC,30,H4-200,2.1,1.8208,5,50,43.35238095238095,3.8696,3.8854,3.891,3.8758,3.8715,3.8557,3.8495,3.8653,3.8684,3.9,3.9115,3.8808,3.8724,3.8408,3.8293,3.8606,3.8674,3.9298,3.9524,3.8916,3.8752,0.867047619047619,3.8782857142857137
NMC,58,J3-200,2.1,1.8194,5,50,43.319047619047616,3.8699,3.8857,3.8919,3.8755,3.8712,3.855,3.8492,3.8656,3.8687,3.9012,3.9127,3.8811,3.8724,3.8402,3.8284,3.8606,3.8678,3.9329,3.9555,3.8907,3.8752,0.8663809523809523,3.8786380952380957
NMC,32,H4-400,2.1,1.6401,5,45,35.144999999999996,3.8712,3.8867,3.8929,3.8774,3.8727,3.8563,3.8501,3.8662,3.8702,3.9015,3.9143,3.8823,3.874,3.8414,3.8293,3.8622,3.869,3.931,3.9567,3.8929,3.8764,0.7809999999999999,3.879747619047619
NMC,65,J4-400,2.1,1.6412,5,45,35.168571428571425,3.8709,3.8864,3.8922,3.8767,3.8724,3.8572,3.8507,3.8662,3.8699,3.9,3.913,3.8833,3.8736,3.8442,3.8312,3.8619,3.8693,3.9304,3.9546,3.895,3.8764,0.7815238095238095,3.879785714285714
NMC,56,J2-500,2.1,1.5775,5,45,33.80357142857142,3.8715,3.8873,3.895,3.8783,3.8733,3.856,3.8492,3.8665,3.8705,3.9056,3.9177,3.8829,3.8746,3.8405,3.8271,3.8625,3.8696,3.936,3.9629,3.896,3.8786,0.7511904761904761,3.8810285714285726
NMC,40,I3-600,2.1,1.6119,5,45,34.54071428571429,3.8721,3.8891,3.8947,3.8777,3.8736,3.8566,3.8507,3.8678,3.8709,3.905,3.9161,3.8829,3.8752,3.8423,3.8293,3.8634,3.8699,3.9375,3.9592,3.8941,3.878,0.7675714285714286,3.8812428571428566
